Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Canada,CAN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..
Canada,CAN,Land area (sq. km),AG.LND.TOTL.K2,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590
Canada,CAN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,36.8567073235071,35.4024592168513,34.229555163977,34.3950055520687,28.5158343165743,29.1673819330319,30.6783919173107,30.3530255225878,30.3319386683867,31.7365758733408,31.8499609634443,31.5025724093362,31.4544101509781,32.2801824238976,31.9085326228511,29.3634480170965
Canada,CAN,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,32.9024256932286,32.6497052601475,32.0538645842577,32.6286028098296,29.9585575059154,31.0407395714164,31.8203468535221,32.2425234169127,31.8991362329537,32.6420862831515,34.3149411035338,33.8611121122194,33.6466506994867,34.1675344147084,33.5038294565728,31.4190824211379
Canada,CAN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,52.90522486,57.62395885,61.57580045,66.26894203,70.56194624,75.62882084,77.70889847,79.3768289,80.34784611,80.72209502,82.61933463,84.5231216,86.28149306,89.57894095,91.86310664,95.63052761
Canada,CAN,"Population, total",SP.POP.TOTL,32243753,32571174,32889025,33247118,33628895,34004889,34339328,34714222,35082954,35437435,35702908,36109487,36545295,37065178,37593384,38005238
Canada,CAN,Population growth (annual %),SP.POP.GROW,0.944466927450734,1.01033450270045,0.971135141368055,1.08290711607014,1.14175809912162,1.11186407517168,0.978697786570341,1.08581726304756,1.05659125917789,1.00533757867378,0.746339477969813,1.13234865466606,1.19968215419992,1.412548033188,1.41501469953534,1.08959148655862
Canada,CAN,Forest area (sq. km),AG.LND.FRST.K2,3475620.9,3475141.14,3474661.38,3474181.62,3473701.86,3473222.1,3472809.1,3472396.1,3471983.1,3471570.1,3471157.1,3470760.4,3470390.5,3470020.7,3469650.8,3469281
Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.99586086930171,4.16581762720676,6.86860885703047,1.00762269545756,-2.92840016684549,3.08949461982786,3.14688137207058,1.76222254945881,2.3291225062102,2.87003607545671,0.659176863558869,1.00139441390405,3.03988022528195,2.77704055379553,1.87959202770178,-5.23302430280606
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1173108598778.68,1319264809590.97,1468820407783.26,1552989690721.65,1374625142157.29,1617343367486.26,1793326630174.52,1828366481521.6,1846597421834.98,1805749878439.94,1556508816217.14,1527994741907.43,1649265644244.09,1725329192783.02,1742015045482.31,1645423407568.36
Canada,CAN,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1243744725655.28,1295556862674.08,1384543596091.58,1398494571594.3,1357541054226.41,1399482212058.69,1443522257095.4,1468960331816.39,1503174217512.03,1546315859831.59,1556508816217.14,1572095608554.66,1619885432081.64,1664870307455.57,1696163077026.08,1607402450990.09
Canada,CAN,CO2 emissions (kt),EN.ATM.CO2E.KT,549970,541070,571310,550200,520800,535030,547720,547140,556350,561830,558800,550480,562260,574400,..,..
Canada,CAN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,17.0566372965331,16.6119280809467,17.3708402727049,16.5488028165328,15.4866819144667,15.7339140263037,15.950224768522,15.7612634959816,15.858128708318,15.8541384273439,15.651386155996,15.2447471768292,15.3852910477258,15.4970252672198,..,..
United States,USA,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..
United States,USA,Land area (sq. km),AG.LND.TOTL.K2,9161920,9161920,9161920,9147420,9147420,9147420,9147420,9147420,9147420,9147420,9147420,9147420,9147420,9147420,9147420,9147420
United States,USA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,9.98401410974582,10.6421379215205,11.4815335487045,12.4739988374908,10.9542621400586,12.388210165878,13.6133373591048,13.6920355236915,13.6252698686445,13.5641341712248,12.4389385481237,11.9077139899094,12.1975159348969,12.2915199559729,11.7561731173036,10.1341428900737
United States,USA,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,15.6595715152293,16.3350450647717,16.5738404797197,17.5095378248555,13.855189144667,15.9388113390004,17.342550648208,17.097707868676,16.4813813201209,16.4741144103293,15.3240702960585,14.6084179425271,14.9603137404109,15.1839613609922,14.5381296750747,13.2419845721597
United States,USA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,69.05236638,77.10934813,82.93180628,86.09952013,89.5449638,92.26777096,95.44904589,97.06859919,98.19768385,111.5562164,119.1439209,122.5945483,123.0448345,129.0140075,134.4588794,..
United States,USA,"Population, total",SP.POP.TOTL,295516599,298379912,301231207,304093966,306771529,309327143,311583481,313877662,316059947,318386329,320738994,323071755,325122128,326838199,328329953,329484123
United States,USA,Population growth (annual %),SP.POP.GROW,0.921713167161207,0.964253917136075,0.951055242772428,0.945865287282592,0.876651298802912,0.829616674709795,0.726786704810745,0.733599941250847,0.692860276624581,0.733361519937424,0.73621730882542,0.724676067451429,0.63264399508256,0.526435395564053,0.455381285963537,0.350911063312921
United States,USA,Forest area (sq. km),AG.LND.FRST.K2,3061280,3066464,3071648,3076832,3082016,3087200,3089950,3092700,3095450,3098200,3100950,3100950,3097950,3097950,3097950,3097950
United States,USA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.5132137994521,2.85497229363445,1.87617145415626,-0.136579803249504,-2.53675706714202,2.5637665603995,1.55083550470843,2.24954585238848,1.84208107064158,2.52597344637341,3.0755146497898,1.71142677366849,2.33267939548638,2.99646435222829,2.16117651518969,-3.40459157333871
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,13036640230000,13814611414000,14451858656000,14712844084000,14448933025000,14992052727000,15542581104000,16197007349000,16784849196000,17527163695000,18238300569000,18745075687000,19542979183000,20611860934000,21433224697000,20953030000000
United States,USA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,15602120903000,16047557132000,16348636818000,16326307882000,15912149113000,16320099471000,16573197368000,16946019042000,17258178451000,17694115456000,18238300569000,18550435728000,18983157920000,19551981480000,19974534312000,19294483000000
United States,USA,CO2 emissions (kt),EN.ATM.CO2E.KT,5756080,5656580,5740270,5563340,5159550,5392870,5172100,4950210,5089500,5102580,4982790,4888640,4813720,4981300,..,..
United States,USA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,19.4780260042178,18.9576435024889,19.0560269540732,18.2948056259689,16.8188684811099,17.4341958733314,16.599403740534,15.7711446187591,16.1029578354008,16.0263790723251,15.535342110601,15.1317468158119,14.8058824221278,15.2408745833286,..,..
Mexico,MEX,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.932728,99.11416,98.1106262207031,98.914037,98.4097290039063,99.236696,99.064094543457,99.111637,99.2320251464844,99.172928,99,99.5,100,99.5,100,..
Mexico,MEX,Land area (sq. km),AG.LND.TOTL.K2,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950
Mexico,MEX,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,26.2325503809951,27.3251618939288,27.527235888679,27.7014958270789,27.1549993271981,29.6976647689721,31.0367071399496,32.2655677637235,31.3056529459396,31.8734413093812,34.5248858421072,37.0421710841871,37.6515684577081,39.2575517289021,38.8162189473493,40.1736981906516
Mexico,MEX,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,27.7055817247764,28.7675627378746,29.2680434728356,30.0755351025349,28.812770431946,31.0626537010206,32.4329707808025,33.5016780596676,32.4592236648864,33.0519165924803,36.5642042713542,39.020038053624,39.4641760467353,41.3018324998763,39.0666401495578,38.0221234366219
Mexico,MEX,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,44.45889887,51.50184288,60.96835755,67.95405391,73.97358941,80.09564358,81.75190485,85.89038906,89.83415248,87.19889276,88.37175565,90.59237542,91.62670695,95.2316028,95.66159745,93.44558787
Mexico,MEX,"Population, total",SP.POP.TOTL,106005199,107560155,109170503,110815272,112463886,114092961,115695468,117274156,118827158,120355137,121858251,123333379,124777326,126190782,127575529,128932753
